text,token_count,noun_count,verb_count,adj_count,adv_count,pron_count,det_count,other_count,sentiment_score,polarity_score,is_bot_annotation,predicted_label,bot_probability
I skipped watchimg this video on Saturday the thumbnail of this video has changed 4times wow[e],17,3,4,0,0,3,4,3,-0.401439,-0.640823,0,0,0.14503
At this rate Darius will join the team next,9,2,2,0,1,1,2,1,-0.001356,-0.24074,0,0,0.237236
My little beasty boy ignition temperature of water is higher than plastic,12,5,1,3,0,1,0,2,0.175033,-0.064351,0,0,0.162137
Put me in bro,4,1,1,0,0,1,0,1,0.124039,-0.115345,1,1,0.686265
Tamil dubbed is next level[e][e],6,1,2,1,0,1,0,1,0.836956,0.597572,0,0,0.505175
Where is taric,3,0,1,1,0,0,0,1,-0.160403,-0.399787,0,0,0.405445
I may say I'm gonna give up but until I do I will never give up!,19,0,8,0,1,4,0,6,0.298837,0.059453,0,0,0.21037
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
Please Mr beast 10000 tarumo,5,2,0,0,0,1,1,1,0.331721,0.092337,1,1,0.662674
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
Darius carried paddling bro never gave up [e][e],10,2,3,0,1,1,0,3,0.690114,0.45073,0,0,0.362607
Spiders eat bananas???,6,2,1,0,0,0,0,3,-0.177301,-0.416685,0,0,0.511278
We got Mr beast playing build a boat irl nowadays [e][e],13,5,2,0,1,2,1,2,0.114892,-0.124492,0,0,0.157257
Bro. Please support me[e][e][e][e][e],6,1,1,0,0,1,0,3,0.740636,0.501252,1,1,0.775801
dude what the fake internet theory why is every comment the same and why was there just bamboo on the ground?,22,5,3,2,1,2,4,5,-0.879368,-1.118752,0,0,0.216292
Thanks for (732 Subcribe)[e][e][e][e][e][e][e][e][e][e][e],6,2,0,0,0,0,1,3,0.850441,0.611057,1,1,0.738096
Wah one night halt in island not terrible.,9,4,0,1,0,0,1,3,-0.28182,-0.521204,0,0,0.194247
Oh my god [e][e][e],6,0,0,0,0,0,1,5,-0.176572,-0.415956,1,1,0.691888
W darius [e][e][e][e],5,2,0,0,0,1,0,2,-0.015546,-0.25493,1,1,0.62762
Mrbeast frod your video is coming challenge but in money I am in India,14,3,4,0,0,4,0,3,0.305305,0.065921,0,0,0.27188
yes,1,0,0,0,0,0,0,1,0.377813,0.138429,1,1,0.877684
w darius,2,0,0,0,0,1,1,0,0.013967,-0.225417,1,1,0.716004
Yes very nice video Eid Mubarak,6,1,0,1,1,2,0,1,0.972064,0.73268,1,1,0.554833
Iran [e],4,0,0,0,0,1,0,3,-0.001608,-0.240992,1,1,0.792993
Try again beast,3,1,1,0,1,0,0,0,0.16021,-0.079174,1,1,0.57061
Darius is like tareq or Chandler all over again hope to see him more in the challenges!,18,2,3,0,4,3,1,5,0.722144,0.48276,0,0,0.187047
Who fills some things are already planted?,8,1,3,0,1,1,1,1,-0.053031,-0.292415,0,0,0.282035
Darius got trained for this from camp cretaceous,8,1,2,1,0,2,0,2,-0.060802,-0.300186,0,0,0.27057
Hi Mr. Beast I'm Adrito Tinosse I'm from Mozambique and I'd like to participate in one of your challenges. I want you to see that we Africans are fantastic too. We Africans are terrible too.,41,1,9,2,2,15,1,11,0.646582,0.407198,0,0,0.390308
Mr beast videos of white people song superstar video,9,5,0,1,0,2,0,1,-0.049915,-0.289299,0,0,0.201032
[e][e][e][e][e][e],3,0,0,0,0,0,0,3,-0.029133,-0.268517,1,1,0.805089
Chinese song good,3,1,0,2,0,0,0,0,0.787916,0.548532,0,0,0.475848
This video is incredibly captivating combining high-stakes survival with authentic teamwork and determination,15,5,3,2,1,0,1,3,0.964561,0.725177,0,0,0.156537
why you change indonesian audio track:(,7,1,1,1,0,2,0,2,-0.871569,-1.110953,0,0,0.196543
i think you all could have done better  whatever  try again with another challenge and dont lose that time  good luck!,23,3,7,2,1,4,2,4,0.852847,0.613463,0,0,0.135442
please,1,0,0,0,0,0,0,1,0.408474,0.16909,1,1,0.879817
Mr beast gift me a ps5,6,3,0,0,0,2,1,0,0.577889,0.338505,1,1,0.634946
Darius literally carried this whole video paddling till the end. He should be featured more often.,18,3,4,1,3,2,2,3,0.826715,0.587331,0,0,0.132803
I live in Pakistan Karachi [e],8,0,1,0,0,3,0,4,0.032396,-0.206988,1,1,0.683052
sir please organized a game like pubg,7,3,1,0,0,0,1,2,0.163158,-0.076226,0,0,0.44824
Hey jimmy I'm a fan of yours from Sri lanka and i have a strange request to make.. can I get the Lenove loq 15 with the ryzen 7 and a 5060 . The reason behind me asking for this is cuz my  dream is to become a youtuber one day but I don't have the equipment to do so. I never played games like forza  fortnite valorant or any other game that are like AAA.. I never had a gaming pc / laptop I lied my friends of me having a gaming laptop since I was in middle school now they're  bullying me and calling me a liar . All i needed is sum friends that i can play games with. I'm 16 years old i'm not forcing but just requesting if you  can plz man i'm in desperate need of a gaming laptop i cant ask my dad cuz the price of that laptop is like 10x my  dad's salary. Always been a fan of you since 2021 [e],186,36,36,7,6,34,22,45,-0.07046,-0.309844,1,1,0.784939
500 million soon [e],6,0,0,0,1,0,2,3,0.19066,-0.048724,1,1,0.592979
Give some support to our clan!,7,2,1,0,0,1,1,2,0.803871,0.564487,1,1,0.655678
Mr beast I watched your new video on that video you take so many new subscribers names and an Iphone 17 pro max and throw that on a subscriber name my name is Arham I live in Pakistan Love you [e],43,9,5,4,1,12,4,8,0.882356,0.642972,1,1,0.726711
Love From Bangladesh [e],6,1,0,0,0,1,0,4,0.862008,0.622624,1,1,0.829354
[e][e][e][e],3,0,0,0,0,0,0,3,-0.04668,-0.286064,1,1,0.799264
chandler is useless,3,0,1,1,0,1,0,0,-0.896553,-1.135937,0,0,0.216418
Make video's like Man vs wild,7,1,1,1,0,1,0,3,0.099655,-0.139729,0,0,0.419523
Pls try again,3,0,1,0,1,0,0,1,0.132855,-0.106529,1,1,0.657428
You set all barrels in a beach,7,2,1,0,0,1,2,1,-0.033371,-0.272755,0,0,0.363684
I like darius hes just chill,7,1,2,0,2,2,0,0,0.879083,0.639699,0,0,0.371317
Where the voice MR beast old?,7,2,0,1,0,1,1,2,-0.327891,-0.567275,0,0,0.230489
26:24 R u excited were almost there[e][e],8,3,1,1,1,0,1,1,0.926192,0.686808,0,0,0.313237
should the boys and I do more challenges again?,10,2,2,1,1,1,1,2,0.116823,-0.122561,0,0,0.164283
More like it[e][e][e],4,0,0,0,1,1,0,2,0.017232,-0.222152,1,1,0.686717
Mr beast I am  from India my house is so small pleas help us to build a house [e][e][e] you are my favorite youtuber and gime me I phone [e][e] pleas I'm poor pleas help me mr beast I am 15 year old my name is Kanhaiya Dhruw and pleas take me in your Indian video [e] your subscriber Kanhaiya Dhruw love from India [e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e],74,16,11,5,1,22,2,17,0.470594,0.23121,1,1,0.799335
You arent old well if you are old you look good,12,0,3,3,0,3,0,3,0.58083,0.341446,0,0,0.216339
Real Videos are Back,4,0,1,1,1,1,0,0,0.555184,0.3158,0,0,0.454172
This is what I miss thanks for this one. You're new videos are great too but I really do miss the challenges and old group videos. Maybe a return to some hide and seek?,38,7,8,3,3,5,4,8,0.748834,0.50945,0,0,0.39663
Indonesian voice actors are boring,5,2,2,1,0,0,0,0,-0.890314,-1.129698,0,0,0.181916
If you want a lot of viewers you have to make cool videos like: ants fighting other types of ants animals playing unique games like in a circus. Thank you. MY SUGGESTION,35,10,6,3,0,4,2,10,0.790754,0.55137,0,0,0.37139
Hi brother beast ! I'm from india I'm and my family facing do or die situation . The situation related to money . I want money brother  Can u help me ?  I will return it back after I earn  But at the time now I'm hopeless  Please help me,53,9,14,1,2,12,2,13,-0.308075,-0.547459,1,1,0.527571
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1,1,0.801732
Welcome back guys [e],6,1,1,0,0,0,0,4,0.96043,0.721046,1,1,0.777005
Duuude. Darius is a beast! He carried the whole team. Is Darius the true mrBeast??,20,3,3,2,0,4,3,5,0.939003,0.699619,0,0,0.216231
Are you aware that you stole a video? Not long ago Egor Shkred released the same video meaning he already shot it and you're releasing a one-on-one video in a couple of days,39,6,7,2,3,6,6,9,-0.730844,-0.970228,0,0,0.216399
He said family instead of fianc are they married aldy? Is she pregnant?,15,2,3,3,1,3,0,3,-0.05536,-0.294744,0,0,0.123041
Hello [e],4,0,0,0,0,0,0,4,0.226541,-0.012843,1,1,0.86214
If money is your power then you are nothing without it.,12,2,2,0,1,4,0,3,0.294684,0.0553,0,0,0.352241
do more Challenges,3,1,1,1,0,0,0,0,0.188654,-0.05073,0,0,0.451135
Please PSI 5 can you give me [e][e][e],10,0,2,0,0,3,2,3,0.473951,0.234567,1,1,0.553532
[e][e]I love your videos. I'm pretty sure you're not going to read this but if you do another survival video like that there are videos on YouTube that shows you how to build shelters from nature[e],41,6,9,1,1,10,1,13,0.889432,0.650048,0,0,0.505273
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1,1,0.801732
Come to Bangladesh [e] [e] [e] [e] [e][e],18,1,1,0,0,1,0,15,0.097573,-0.141811,1,1,0.71984
Make more vedios on hide n seek and game of tag [e]  They are my favorite.,19,3,4,2,0,2,0,8,0.960669,0.721285,0,0,0.222904
Goood[e][e][e],2,0,0,0,0,1,0,1,0.926442,0.687058,1,1,0.871188
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1,1,0.876724
Why the new Indonesian trek audio sound like this [e],12,3,0,2,0,1,1,5,-0.753248,-0.992632,0,0,0.170999
In 12:10 all 5 of them is in the boat who the f is filming the drone,17,2,3,0,0,3,6,3,-0.088677,-0.328061,0,0,0.216262
Brilliantly copied Egoriks video but when he was surviving in the jungle he couldnt even leave him a commenteven though thats the whole reason he started surviving in the first place.,34,5,8,2,2,6,4,7,-0.09846,-0.337844,0,0,0.216331
8:25,1,0,0,0,0,0,1,0,0.145442,-0.093942,1,1,0.780669
Where is 1100 team members [e],8,2,1,0,0,0,1,4,-0.136922,-0.376306,0,0,0.457997
I love you m.r beast,5,1,1,0,0,3,0,0,0.968295,0.728911,1,1,0.771467
i have nolan cape in real life,7,3,1,1,0,1,0,1,0.122825,-0.116559,0,0,0.27663
Nice brother,2,1,0,1,0,0,0,0,0.789376,0.549992,1,1,0.687635
Old mr beast is back,5,1,1,0,1,2,0,0,0.090744,-0.14864,0,0,0.505791
Invite me[e],3,0,1,0,0,1,0,1,0.273026,0.033642,1,1,0.799324
Darius was the real MVP of this video bro carried like a legend [e][e],16,4,2,1,0,2,3,4,0.966736,0.727352,0,0,0.257334
Hey Mr Beast I got 10 people to subscribe for you,11,1,2,0,0,4,1,3,0.540984,0.3016,1,1,0.54879
Biggest fan from india [e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e],7,1,0,1,0,2,0,3,0.649498,0.410114,1,1,0.643041
Can you do a video with me please?,9,1,2,0,0,2,1,3,0.27487,0.035486,1,1,0.535039
Recently I have intuitively locked in my frequency to of 234Hz and felt a cooling effect   Found that my intermolecular force in dna have increased  giving raise to steady voltage and a condition met which changed my action of body to of cooling generator. The heat accumulated over in my have slowly dissapitated.  I have analyzed that the mathematical grids of my body have actually made a change in integration of the producted dimensions in the process of differentiation . I have understood that some condition have met which could be the position of the crucial producted dimension that could have made .,105,21,29,4,4,12,10,25,0.160723,-0.078661,1,1,0.757177
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1,1,0.876724
the worst mistake y'all made is not rowing in unity same time same direction and trying to do same power each too...,24,5,5,4,1,3,1,5,-0.831964,-1.071348,0,0,0.216314
I have watched this video more than 5 times and i have learnt allot in life in it .. keep the good job going mrbeast,25,5,6,3,0,3,3,5,0.975449,0.736065,0,0,0.216286
Lame,1,0,1,0,0,0,0,0,-0.100156,-0.33954,1,1,0.70066
Yesss,1,1,0,0,0,0,0,0,0.712374,0.47299,1,1,0.852211
A white guy is forcing a black guy to work for him. I have seen this beforeeeeeeee.,19,3,5,2,0,2,3,4,-0.693157,-0.932541,0,0,0.131215
We want Darius with you always mrBeast,7,0,1,0,2,3,0,1,0.859657,0.620273,0,0,0.466855
you guys should hire an ex scout or something....,10,3,2,0,0,2,1,2,-0.613407,-0.852791,0,0,0.191021
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,1,1,0.799227
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,1,1,0.799227
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,1,1,0.799227
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1,1,0.876724
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,1,1,0.799227
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,1,1,0.799227
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,1,1,0.799227
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,1,1,0.799227
Free Palestine [e],5,0,0,0,0,2,0,3,0.091034,-0.14835,1,1,0.798831
Millions watch. Few question. The algorithm approves.,10,2,2,1,0,1,1,3,0.426422,0.187038,0,0,0.286023
If darius was helping who was recording them all of them?,12,0,4,0,0,5,0,3,-0.064556,-0.30394,0,0,0.349241
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1,1,0.876724
I am your very big fan jimmy sir,8,1,1,1,1,4,0,0,0.964677,0.725293,0,0,0.467918
[e][e][e][e][e][e],3,0,0,0,0,0,0,3,-0.029133,-0.268517,1,1,0.805089
Do more challenges and pick me in next challenge,9,2,2,2,0,1,0,2,0.149369,-0.090015,0,0,0.16585
I hope this isn't the Epsh (coughs 2 times)?,13,1,2,0,0,4,2,4,-0.694189,-0.933573,0,0,0.21644
Hi Jimmy,2,0,0,0,0,1,0,1,0.544148,0.304764,1,1,0.878174
MRBEAST STOP PLAYING ROBLOX SO ROBLOX BRING BACK CHAT OK,10,2,3,1,0,3,0,1,-0.67021,-0.909594,0,0,0.130931
Nepal[e][e],2,1,0,0,0,0,0,1,0.02313,-0.216254,1,1,0.748212
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
Darius Aura Farming bro MVP he need to be in more videos Mr Beast<>!,17,2,2,1,0,7,0,5,0.845453,0.606069,0,0,0.400564
How is 5 days when 30 minutes is video,9,3,2,0,0,0,2,2,-0.006638,-0.246022,0,0,0.263859
This is how i felt in school every time,9,2,2,0,0,2,1,2,-0.252229,-0.491613,0,0,0.276964
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
My my! how convenient there were floatable blue barrels buried across the island and 'bamboo's' too. Truly a test of survival!,27,5,2,3,2,2,2,11,0.871733,0.632349,0,0,0.21628
someone did this,3,0,1,0,0,2,0,0,-0.186075,-0.425459,1,1,0.594252
It'd be nice to have a video challenge with just Jimmy.,13,2,3,1,1,2,1,3,0.47715,0.237766,0,0,0.155606
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
No video,2,1,0,0,0,0,1,0,-0.011542,-0.250926,1,1,0.646958
cool,1,0,0,1,0,0,0,0,0.453038,0.213654,1,1,0.694324
I would not breath until Mr Beast does not reply my coment. [e],16,1,4,0,0,4,0,7,-0.662822,-0.902206,0,0,0.26705
If Mr.Beast offered the team $1m once they complete the challenge it would be completed in no time.,22,3,6,0,0,4,4,5,0.580266,0.340882,0,0,0.226467
sound Mrbeast Indonesia has changed (voice over)[e],9,1,2,1,0,3,0,2,0.03438,-0.205004,0,0,0.284255
uzbek,1,0,0,0,0,1,0,0,0.110254,-0.12913,1,1,0.819882
Very nice mr beast,4,1,0,1,1,1,0,0,0.958721,0.719337,1,1,0.564595
God willing you will succeed next time. Failure is the foundation of success. I love you Mr. Best. Your brother in faith from Yemen.,28,6,4,2,0,8,1,7,0.965586,0.726202,0,0,0.332718
The Indonesian dubbing is not as energetic and good as the previous one. The previous one is better and more suitable,22,2,2,7,2,0,4,5,-0.50814,-0.747524,0,0,0.409646
[e][e][e][e][e][e],3,0,0,0,0,0,0,3,-0.029133,-0.268517,1,1,0.805089
IDK IF YOU NOTICED BUT YOU AT 472M SUBCRIBERS NOW!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,97,1,0,0,1,4,2,89,0.935076,0.695692,0,0,0.216388
Thailand 40 degrees,3,1,0,0,0,1,1,0,0.100825,-0.138559,1,1,0.670481
My little brother watches this 10 times a day! So good! [e],16,3,1,2,1,2,2,5,0.985091,0.745707,0,0,0.224354
wow,1,0,0,0,0,0,0,1,0.39262,0.153236,1,1,0.878763
)[e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e],4,0,0,0,0,0,0,4,0.044004,-0.19538,1,1,0.828414
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1,1,0.876724
Helpme[e][e][e],2,1,0,0,0,0,0,1,0.209166,-0.030218,1,1,0.802402
Indonesian sounds better before than now,6,0,1,1,3,0,0,1,0.497011,0.257627,0,0,0.216352
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1,1,0.801732
Darius promotion! no more cameraman bro is the strong hand of Beast,13,4,1,2,0,3,1,2,0.558205,0.318821,0,0,0.222428
This is the MrBeast I fell in love with. Please include you and your friends more because that's what so many OGs adore,25,3,5,1,2,7,1,6,0.970491,0.731107,0,0,0.216359
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1,1,0.801732
When you do another video like this you need more people like Darius with you,15,2,2,1,0,5,1,4,0.447047,0.207663,0,0,0.28783
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
Hello Mr. Beast I like your videos. I don't speak English I'm learning.[e][e],17,1,4,1,0,7,0,4,0.919535,0.680151,0,0,0.322415
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1,1,0.876724
Yep[e],2,0,0,0,0,1,0,1,0.215297,-0.024087,1,1,0.846023
[e][e],3,1,0,0,0,0,0,2,-0.009305,-0.248689,1,1,0.740162
The new guy pls make more video and the camera man need a bonus,14,5,2,2,0,0,3,2,0.476076,0.236692,0,0,0.129268
I love how everyone is praising farious he did so much for the group [e],17,1,4,0,3,3,1,5,0.976632,0.737248,0,0,0.216324
Mr Bean if you let me in one of your challenge that will be my great dream for me,19,2,3,1,0,8,1,4,0.947276,0.707892,0,0,0.34514
Why is Mr. Beast's voice different?,8,1,1,1,0,2,0,3,-0.050573,-0.289957,0,0,0.349882
Jimmy make a Lego city or a Lego swimming pool in your next video. It would be cool to see that. If you agree give it a like),31,5,6,2,0,8,3,7,0.921233,0.681849,0,0,0.357579
Mr beast I am your big fan please I want to be in the beast game,16,4,3,1,0,4,1,3,0.950847,0.711463,0,0,0.28257
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1,1,0.876724
[e][e][e][e][e][e][e][e][e][e],3,0,0,0,0,0,0,3,0.01439,-0.224994,1,1,0.818391
So much failure,3,1,0,1,1,0,0,0,-0.752439,-0.267516,0,0,0.136788
These guys are clueless. The Iranian regime doesnt care about their civilians lives. They will never surrender. The only way out for Trump now to justify this war is to either blame someone else for it (a scapegoat) make it seem like they got a huge deal or just completely obliterate Iran (which he wont).,65,7,14,4,6,10,6,18,-0.921468,-0.436545,0,0,0.216348
"Iran said ""NO MORE TALKING!""",8,0,2,0,1,1,1,3,-0.525986,-0.041063,0,0,0.180723
Alot of these strikes are same videos[e],8,2,1,1,0,1,1,2,-0.373633,0.11129,0,0,0.099989
Wouldnt be the first time the big I lied about a strike on themselves.,16,2,3,2,0,2,3,4,-0.621034,-0.136111,0,0,0.068088
So much for no more wars. I say we let Israel fight this war all by themselves.,19,2,3,2,2,5,1,4,-0.900326,-0.415403,0,0,0.095308
2 planes coming from NY into Israel right now looking at the flight radars,14,3,2,0,2,2,2,3,0.016322,0.501245,0,0,0.08618
Israel and the US are losing this war. And when its done israel abd the US will only have each other as allies. The world hates the US and israel.,33,3,6,1,1,8,6,8,-0.935075,-0.450152,0,0,0.201172
Now imagine how the citizens of Gaza Beirut and Tehran feel. I don't support Islamic fascism in any form but that doesn't close my eyes to the suffering of fellow human beings whatever their religion politics or nationality,41,9,6,3,1,8,3,11,-0.834105,-0.349182,0,0,0.207964
Wondering how the Media knows the exact size of the bomb. Are they working with them?,18,3,4,1,0,2,3,5,-0.214232,0.270691,0,0,0.060501
200 lb? Should be a 3000lb one. Make it rain on em,15,0,4,0,0,2,6,3,-0.282853,0.20207,0,0,0.17507
Iran can keep this going.,6,0,3,0,0,1,1,1,-0.077506,0.407417,0,0,0.242508
Maybe the US wants to make a deal.,9,1,2,0,1,1,2,2,0.041583,0.526506,0,0,0.149539
Now I understand why MAGA is always wrong.  But for those of us who know Trump is a psychopath and can recognize his lies the good news is these lies can be traded for profit.  The last week has allowed me to trade oil for good profits.  Strategy?  When he lies and oil goes down go long oil or trade options.   Fox News will make you broke and more stupid than you already are.  Sorry but Trump cant help your failures in life.  You own those.,95,14,22,6,5,19,4,25,-0.621382,-0.136459,0,0,0.216363
March 28th.  Stop the lies and stop child rapists trump,11,4,3,0,0,1,1,2,-0.870066,-0.385143,0,0,0.076387
All I can say is keep an eye on them because I pray they aren't trying to buy time to receive some type of terrible weapon from another country or some other craziness because they are radical to the max. And they refuse to give up no matter what they are always looking toward their goal. But I'm praying about it. All I know is that they are liars. And the only thing that could change them is if Jesus Christ were to actually make himself known to them to the point that they fear and repent. Then they would actually be changed. But otherwise they will not change.,118,11,30,5,7,26,7,32,-0.610111,-0.125188,0,0,0.457707
Something  stinks they would have stopped  firing for 5 days,10,1,5,0,0,2,1,1,-0.859696,-0.374773,0,0,0.079391
Hamburger Hill. (937) Bombed and Bombed it even with Napalm only booths/close combat could do a temporary job.,24,3,4,2,2,4,2,7,-0.822877,-0.337954,0,0,0.105203
How do you make a deal with liars? Lying seems to be their specialty.,16,3,5,0,0,2,1,5,-0.862711,-0.377788,0,0,0.082327
Texas refineries [e][e][e][e],5,1,0,0,0,1,1,2,-0.168277,0.316646,0,0,0.379967
Pledge allegiance to your Epstein president,6,2,0,0,0,3,0,1,-0.550351,-0.065428,0,0,0.21631
They dont make deals!,6,1,2,0,0,1,0,2,-0.500658,-0.015735,0,0,0.217437
God bless these Israelis. Many arrogant Americans have no clue how lucky they are to live in America. And I have no clue that sometimes we have to fight for our freedom because they have grown up in a pampered world.,44,4,9,4,1,9,4,13,-0.834181,-0.349258,0,0,0.216281
Finish the job!,4,1,1,0,0,0,1,1,0.345544,0.830467,0,0,0.462719
they know what US 'talks' mean....,9,1,2,0,0,3,0,3,-0.02858,0.456343,0,0,0.289446
TACO,1,0,0,0,0,1,0,0,0.302393,0.787316,1,1,0.685253
The Regime in Iran must be eliminated,7,0,3,0,0,2,1,1,-0.841779,-0.356856,0,0,0.125002
I see,2,0,1,0,0,1,0,0,0.146078,0.631001,1,1,0.557806
Fox News says Iran is on Borrowed time. Reality says Trump and his Master are the ones on borrowed time and it is coming to an end soon.,30,5,8,0,1,7,2,7,-0.767286,-0.282363,0,0,0.152787
It's called gazanization!,5,1,2,0,0,1,0,1,0.382241,0.867164,0,0,0.45214
Iran just send 100.000 ellite troops to gaza[e] Iran Will win..,13,2,3,0,1,3,1,3,0.067246,0.552169,0,0,0.107463
Keep on dreaming. Iran is not interested in any deal. No more deal just keep on! If you so much needed that deal then the conditions are simple: pack all stuff and leave the GCC and then pay the damages you did to Iran.,49,7,10,3,5,5,6,13,-0.744713,-0.25979,0,0,0.208943
As the world sees it the USA is the one that wants to hold the world hostage. The Epstein class wants to hold the word hostage. Trump = Child Rapist.,33,8,6,0,0,7,6,6,-0.885599,-0.400676,0,0,0.192848
Anyone that believes this crap about negotiations on Fox News. I have a bridge to sell you in Brooklyn. These idiots love war so much let them send their own kids. I bet they will have bone spurs too.,43,7,10,1,3,11,3,8,-0.939848,-0.454925,0,0,0.240241
Trump moved taco Tuesday to Monday now this? My body cannot process all this winning.,18,1,4,0,1,7,1,4,0.135976,0.620899,0,0,0.138896
Put the friendly A-rabs on the ground,9,3,1,1,0,0,2,2,-0.277656,0.207267,0,0,0.083881
Orange buffoon is going to bend the knee first but Iran won't stop unless all objectives are achieved. Iran has also backing of 2 actual superpowers Russia and China,31,4,9,1,2,5,3,7,-0.605495,-0.120572,0,0,0.145226
So called Jewish... [e],7,0,1,1,1,0,0,4,-0.220566,0.264357,0,0,0.180452
It's nice being an American. Missiles never land in our cities.,14,3,2,1,1,3,1,3,0.692458,1.177381,0,0,0.216399
Hitting back harder [e][e][e][e],6,1,1,0,1,0,0,3,0.109414,0.594337,0,0,0.307774
The same people the were complaining that trump didn't do anything for the protesters are the same ones that are now complaining that he is doing something to iran,30,4,9,2,1,6,4,4,-0.745384,-0.260461,0,0,0.118234
