text,token_count,noun_count,verb_count,adj_count,adv_count,pron_count,det_count,other_count,sentiment_score,polarity_score,is_bot_annotation
good,1,0,0,1,0,0,0,0,0.580132,0.340748,1
Darius was working [e][e] give hands for him,10,2,3,0,0,2,0,3,0.170237,-0.069147,0
Im gey,3,0,1,0,0,2,0,0,0.051641,-0.187743,1
Love you[e],3,2,0,0,0,0,0,1,0.942194,0.70281,0
Hide and seek please [e],7,0,2,0,0,0,0,5,0.049546,-0.189838,1
Haha Russian video blogger Yegorik has a video like this did you steal it?,15,3,3,1,0,5,1,2,-0.050286,-0.28967,1
You should have used light bamboo while making the baitha so as not to hurt your hands while driving the sail...[e],24,4,6,1,0,2,2,9,-0.134571,-0.373955,0
Jimmy clean the entire island[e],6,1,1,1,0,1,1,1,0.067076,-0.172308,0
[e][e][e][e][e],3,0,0,0,0,0,0,3,-0.041735,-0.281119,1
Waw,1,1,0,0,0,0,0,0,0.204735,-0.034649,1
Your are very Darefull [e],7,0,1,1,1,1,0,3,0.902907,0.663523,1
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
hey jimmy can you please get me on the same challange in other vedio please,15,3,2,2,0,3,1,4,0.178293,-0.061091,1
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1
W darious,2,1,0,1,0,0,0,0,-0.028754,-0.268138,0
Yea do more challenges but you didn't show what you guys eat and hase doesn't do paddling,19,2,8,1,0,3,0,5,-0.624389,-0.863773,0
Very boring video,3,1,0,1,1,0,0,0,-0.808748,-1.048132,1
If you had 5 Darius yall would have for sure made it! That man did not stop the whole time!,23,2,6,2,0,5,3,5,0.686882,0.447498,0
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
do this again with mark rober,6,2,1,0,1,1,0,1,0.005734,-0.23365,0
@Mrbeast Do survival challenges,4,3,1,0,0,0,0,0,0.115516,-0.123868,1
1:45 it was pretty safe [e][e],8,1,1,1,1,1,1,2,0.875551,0.636167,0
@mrbeast  give me one challenge please [e][e],9,2,1,0,0,2,1,3,0.217416,-0.021968,1
Comments be LIKE: THANKS FOR 1K!! MOM I AM FAMOS  NO WAY THANKS FOR 3K!!!,23,7,2,0,0,2,3,9,0.611201,0.371817,0
Do your challenge mr.beast,4,1,1,0,1,1,0,0,0.264533,0.025149,1
[e][e][e][e],3,0,0,0,0,0,0,3,-0.04668,-0.286064,1
Step One: Break Wood Step Two: Make Planks Step three: Make a Crafting Table Step Four: Get Five Planks  Step Five: Place the Planks in the Crafting Table in an U Shape  Step Six: Craft the Boat  Step Seven: Place the Boat in Water  Step Eight: Sit in the Boat Step Nine: Using the W A S and D keys Drive the Boat Till You Reach Safe Lands Step 10: Get Out of the Boat and Ladies and Gentlemen You Have Escaped the Island,94,6,13,0,0,33,22,20,0.052252,-0.187132,0
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1
[e][e][e][e][e],3,0,0,0,0,0,0,3,-0.041735,-0.281119,1
[e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e],3,0,0,0,0,0,0,3,0.038007,-0.201377,1
[e][e][e][e],3,0,0,0,0,0,0,3,-0.04668,-0.286064,1
[e][e][e][e],3,0,0,0,0,0,0,3,-0.04668,-0.286064,1
4:27 in India blue dram is very famous only Indians know[e],12,2,1,2,2,2,1,2,0.659393,0.420009,0
[e][e][e][e][e],3,0,0,0,0,0,0,3,-0.041735,-0.281119,1
Nice script though [e] try better next time,10,2,1,2,1,0,0,4,0.899396,0.660012,1
hello mr beast  I'm asking permission to take a small portion of your video to post on my personal page.,22,5,4,2,0,4,1,6,0.19474,-0.044644,1
[e][e][e][e][e][e],3,0,0,0,0,0,0,3,-0.029133,-0.268517,1
I wish I had a better Wi-Fi to watch ur videos [e],16,1,3,1,0,5,1,5,0.412244,0.17286,0
Today's my birthday but no subscribers,7,3,0,0,0,1,1,2,-0.276817,-0.516201,1
How to join mr beast challenge i dont know can anyone please tell me,15,2,5,0,0,4,0,4,-0.191822,-0.431206,1
Yes Mr beast [e],6,1,0,0,0,1,0,4,0.448535,0.209151,1
30:05,1,0,0,0,0,0,1,0,0.069222,-0.170162,0
29:55,1,0,0,0,0,0,1,0,0.125573,-0.113811,0
29:44,1,0,0,0,0,0,1,0,0.199697,-0.039687,0
Mr. Beast I want to make a video with you I am from Bangladesh.,15,1,3,0,0,6,1,4,0.622287,0.382903,1
Guys im indonesian people and why the indonesia dub for mrbeast is different people wheres the og one?,21,3,4,4,0,2,3,5,-0.037987,-0.277371,0
i would say without phones and internet,7,2,2,0,0,1,0,2,0.015768,-0.223616,0
Hello sir,2,1,0,0,0,0,0,1,0.666022,0.426638,1
 [e],3,0,0,0,0,0,0,3,0.082198,-0.157186,1
Sir can you help me my mother have cancer problem,10,3,3,0,0,4,0,0,-0.178568,-0.417952,1
Mr. Beast help me buy a house,7,1,2,0,0,3,1,0,0.332462,0.093078,1
Does anyone here know how to write a book [e] but have issues in printing and publishing them,20,3,5,0,1,2,1,8,-0.212032,-0.451416,1
Why there 2 blue drum[e],6,0,0,1,1,0,2,2,-0.091409,-0.330793,0
This is real survival not easy at all [e],11,1,1,2,2,1,0,4,-0.868505,-1.107889,0
bro skipped admin abuse,4,1,1,1,0,1,0,0,-0.507777,-0.747161,0
26:42 jimmy's voice [e],7,1,0,0,0,1,1,4,0.106116,-0.133268,0
his cameraman looks like a model,6,2,1,0,0,1,1,1,-0.014592,-0.253976,0
Wow,1,0,0,0,0,0,0,1,0.635367,0.395983,1
I skipped watchimg this video on Saturday the thumbnail of this video has changed 4times wow[e],17,3,4,0,0,3,4,3,-0.401439,-0.640823,0
At this rate Darius will join the team next,9,2,2,0,1,1,2,1,-0.001356,-0.24074,0
Hye mr. Beast I like your videos like this types,11,2,1,0,0,6,1,1,0.913595,0.674211,0
My little beasty boy ignition temperature of water is higher than plastic,12,5,1,3,0,1,0,2,0.175033,-0.064351,0
Put me in bro,4,1,1,0,0,1,0,1,0.124039,-0.115345,1
I need a laptop please [e] I am new subscriber,12,2,2,1,0,2,1,4,0.206997,-0.032387,1
Im so glad hase is here too,8,1,2,1,3,1,0,0,0.982467,0.743083,1
Tamil dubbed is next level[e][e],6,1,2,1,0,1,0,1,0.836956,0.597572,0
Mr Beast please help me My father is so sick and my home in loan and I am job delivery boy but now my condition is not good please give me $10000 it's enough amount for my all problems my english is not good but I trying if I write Hindi language so can better understand you please [e] help,64,10,12,4,4,16,2,16,-0.6881,-0.927484,1
Where is taric,3,0,1,1,0,0,0,1,-0.160403,-0.399787,0
I may say I'm gonna give up but until I do I will never give up!,19,0,8,0,1,4,0,6,0.298837,0.059453,0
Wah keren[e][e],3,1,0,0,0,1,0,1,-0.012496,-0.25188,0
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
Please Mr beast 10000 tarumo,5,2,0,0,0,1,1,1,0.331721,0.092337,1
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
Mr beast you should recreate the steel ball run race cross america from jojos bizarre adventure part 7 which is the best anime which is going to be created and one of the best manga in history so its going to be peak if you can recreate it,48,8,11,4,0,12,5,8,0.957011,0.717627,0
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
Darius carried paddling bro never gave up [e][e],10,2,3,0,1,1,0,3,0.690114,0.45073,0
Spiders eat bananas???,6,2,1,0,0,0,0,3,-0.177301,-0.416685,0
We got Mr beast playing build a boat irl nowadays [e][e],13,5,2,0,1,2,1,2,0.114892,-0.124492,0
Bro. Please support me[e][e][e][e][e],6,1,1,0,0,1,0,3,0.740636,0.501252,1
dude what the fake internet theory why is every comment the same and why was there just bamboo on the ground?,22,5,3,2,1,2,4,5,-0.879368,-1.118752,0
Mack make the same video 2 week before,8,2,1,1,0,1,2,1,-0.108499,-0.347883,1
Thanks for (732 Subcribe)[e][e][e][e][e][e][e][e][e][e][e],6,2,0,0,0,0,1,3,0.850441,0.611057,1
Wah one night halt in island not terrible.,9,4,0,1,0,0,1,3,-0.28182,-0.521204,0
Oh my god [e][e][e],6,0,0,0,0,0,1,5,-0.176572,-0.415956,1
W darius [e][e][e][e],5,2,0,0,0,1,0,2,-0.015546,-0.25493,1
Mrbeast frod your video is coming challenge but in money I am in India,14,3,4,0,0,4,0,3,0.305305,0.065921,0
yes,1,0,0,0,0,0,0,1,0.377813,0.138429,1
w darius,2,0,0,0,0,1,1,0,0.013967,-0.225417,1
Yes very nice video Eid Mubarak,6,1,0,1,1,2,0,1,0.972064,0.73268,1
Iran [e],4,0,0,0,0,1,0,3,-0.001608,-0.240992,1
Try again beast,3,1,1,0,1,0,0,0,0.16021,-0.079174,1
Allah give u more success ..and give u more chance to donate,13,2,3,2,0,3,0,3,0.945715,0.706331,1
Darius is like tareq or Chandler all over again hope to see him more in the challenges!,18,2,3,0,4,3,1,5,0.722144,0.48276,0
Who fills some things are already planted?,8,1,3,0,1,1,1,1,-0.053031,-0.292415,0
Darius got trained for this from camp cretaceous,8,1,2,1,0,2,0,2,-0.060802,-0.300186,0
Hi Mr. Beast I'm Adrito Tinosse I'm from Mozambique and I'd like to participate in one of your challenges. I want you to see that we Africans are fantastic too. We Africans are terrible too.,41,1,9,2,2,15,1,11,0.646582,0.407198,0
Darius [e][e],4,1,0,0,0,1,0,2,0.050109,-0.189275,0
Mr beast videos of white people song superstar video,9,5,0,1,0,2,0,1,-0.049915,-0.289299,0
[e][e][e][e][e][e],3,0,0,0,0,0,0,3,-0.029133,-0.268517,1
Do more like this,4,0,1,1,0,1,0,1,0.4847,0.245316,0
Chinese song good,3,1,0,2,0,0,0,0,0.787916,0.548532,0
Darrius,1,0,0,0,0,1,0,0,0.069428,-0.169956,0
Small content creators assemble.  Do subscribe.....,8,2,3,1,0,0,0,2,0.215431,-0.023953,1
This video is incredibly captivating combining high-stakes survival with authentic teamwork and determination,15,5,3,2,1,0,1,3,0.964561,0.725177,0
why you change indonesian audio track:(,7,1,1,1,0,2,0,2,-0.871569,-1.110953,0
I am ready to take challenges in video,8,2,2,1,0,1,0,2,0.657019,0.417635,1
i think you all could have done better  whatever  try again with another challenge and dont lose that time  good luck!,23,3,7,2,1,4,2,4,0.852847,0.613463,0
please,1,0,0,0,0,0,0,1,0.408474,0.16909,1
Mr beast gift me a ps5,6,3,0,0,0,2,1,0,0.577889,0.338505,1
I want Chinese,3,0,1,0,0,2,0,0,0.298956,0.059572,0
bring darrius again!!!!!!!!!!!!!!!,18,1,1,0,1,0,0,15,0.829416,0.590032,0
Darius literally carried this whole video paddling till the end. He should be featured more often.,18,3,4,1,3,2,2,3,0.826715,0.587331,0
I live in Pakistan Karachi [e],8,0,1,0,0,3,0,4,0.032396,-0.206988,1
sir please organized a game like pubg,7,3,1,0,0,0,1,2,0.163158,-0.076226,0
Hey jimmy I'm a fan of yours from Sri lanka and i have a strange request to make.. can I get the Lenove loq 15 with the ryzen 7 and a 5060 . The reason behind me asking for this is cuz my  dream is to become a youtuber one day but I don't have the equipment to do so. I never played games like forza  fortnite valorant or any other game that are like AAA.. I never had a gaming pc / laptop I lied my friends of me having a gaming laptop since I was in middle school now they're  bullying me and calling me a liar . All i needed is sum friends that i can play games with. I'm 16 years old i'm not forcing but just requesting if you  can plz man i'm in desperate need of a gaming laptop i cant ask my dad cuz the price of that laptop is like 10x my  dad's salary. Always been a fan of you since 2021 [e],186,36,36,7,6,34,22,45,-0.07046,-0.309844,1
Mr best  Please half me  I need sum many Please [e],13,1,1,2,0,3,1,5,0.902846,0.663462,1
500 million soon [e],6,0,0,0,1,0,2,3,0.19066,-0.048724,1
Give some support to our clan!,7,2,1,0,0,1,1,2,0.803871,0.564487,1
Mr beast I watched your new video on that video you take so many new subscribers names and an Iphone 17 pro max and throw that on a subscriber name my name is Arham I live in Pakistan Love you [e],43,9,5,4,1,12,4,8,0.882356,0.642972,1
Love From Bangladesh [e],6,1,0,0,0,1,0,4,0.862008,0.622624,1
[e][e][e][e],3,0,0,0,0,0,0,3,-0.04668,-0.286064,1
Mr beast is brand of YouTube,6,2,1,0,0,2,0,1,0.317034,0.07765,0
chandler is useless,3,0,1,1,0,1,0,0,-0.896553,-1.135937,0
Make video's like Man vs wild,7,1,1,1,0,1,0,3,0.099655,-0.139729,0
Pls try again,3,0,1,0,1,0,0,1,0.132855,-0.106529,1
You set all barrels in a beach,7,2,1,0,0,1,2,1,-0.033371,-0.272755,0
Video fake,2,2,0,0,0,0,0,0,-0.120759,-0.360143,0
I like darius hes just chill,7,1,2,0,2,2,0,0,0.879083,0.639699,0
Where the voice MR beast old?,7,2,0,1,0,1,1,2,-0.327891,-0.567275,0
26:24 R u excited were almost there[e][e],8,3,1,1,1,0,1,1,0.926192,0.686808,0
should the boys and I do more challenges again?,10,2,2,1,1,1,1,2,0.116823,-0.122561,0
More like it[e][e][e],4,0,0,0,1,1,0,2,0.017232,-0.222152,1
Mr beast I am  from India my house is so small pleas help us to build a house [e][e][e] you are my favorite youtuber and gime me I phone [e][e] pleas I'm poor pleas help me mr beast I am 15 year old my name is Kanhaiya Dhruw and pleas take me in your Indian video [e] your subscriber Kanhaiya Dhruw love from India [e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e],74,16,11,5,1,22,2,17,0.470594,0.23121,1
Oh yes Mr. Beast ken Tse cho colle more if you bring me the break and we missed together find oh yes wow who,24,2,5,0,2,7,1,7,0.739055,0.499671,1
You arent old well if you are old you look good,12,0,3,3,0,3,0,3,0.58083,0.341446,0
Real Videos are Back,4,0,1,1,1,1,0,0,0.555184,0.3158,0
In the epst3in island??,7,2,0,0,0,0,1,4,0.020172,-0.219212,0
We want part 2.....,5,1,1,0,0,1,1,1,0.201646,-0.037738,0
This is what I miss thanks for this one. You're new videos are great too but I really do miss the challenges and old group videos. Maybe a return to some hide and seek?,38,7,8,3,3,5,4,8,0.748834,0.50945,0
Hi mrbeast  Iam in India give me a gift plz i saw all videos and subscribed plz give a gift,20,3,4,1,0,4,3,5,0.696942,0.457558,1
Bro Nolan is cooking the challenge,6,1,2,0,0,2,1,0,0.426402,0.187018,0
Last nights had a dream about Mr beast coming to my house [e],15,4,2,1,0,2,1,5,0.028038,-0.211346,1
Mojang please fix bedrock,4,2,1,0,0,0,0,1,-0.381684,-0.621068,1
Indonesian voice actors are boring,5,2,2,1,0,0,0,0,-0.890314,-1.129698,0
Jimmy can do anything [e],7,0,2,0,0,2,0,3,0.514275,0.274891,0
If you want a lot of viewers you have to make cool videos like: ants fighting other types of ants animals playing unique games like in a circus. Thank you. MY SUGGESTION,35,10,6,3,0,4,2,10,0.790754,0.55137,0
Hi brother beast ! I'm from india I'm and my family facing do or die situation . The situation related to money . I want money brother  Can u help me ?  I will return it back after I earn  But at the time now I'm hopeless  Please help me,53,9,14,1,2,12,2,13,-0.308075,-0.547459,1
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1
Welcome back guys [e],6,1,1,0,0,0,0,4,0.96043,0.721046,1
Bro Come back [e],6,1,1,0,0,0,0,4,0.24119,0.001806,0
Duuude. Darius is a beast! He carried the whole team. Is Darius the true mrBeast??,20,3,3,2,0,4,3,5,0.939003,0.699619,0
Are you aware that you stole a video? Not long ago Egor Shkred released the same video meaning he already shot it and you're releasing a one-on-one video in a couple of days,39,6,7,2,3,6,6,9,-0.730844,-0.970228,0
He said family instead of fianc are they married aldy? Is she pregnant?,15,2,3,3,1,3,0,3,-0.05536,-0.294744,0
Hello [e],4,0,0,0,0,0,0,4,0.226541,-0.012843,1
If money is your power then you are nothing without it.,12,2,2,0,1,4,0,3,0.294684,0.0553,0
do more Challenges,3,1,1,1,0,0,0,0,0.188654,-0.05073,0
Please PSI 5 can you give me [e][e][e],10,0,2,0,0,3,2,3,0.473951,0.234567,1
[e][e]I love your videos. I'm pretty sure you're not going to read this but if you do another survival video like that there are videos on YouTube that shows you how to build shelters from nature[e],41,6,9,1,1,10,1,13,0.889432,0.650048,0
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1
Come to Bangladesh [e] [e] [e] [e] [e][e],18,1,1,0,0,1,0,15,0.097573,-0.141811,1
Make more vedios on hide n seek and game of tag [e]  They are my favorite.,19,3,4,2,0,2,0,8,0.960669,0.721285,0
Darius made every cameraman proud,5,1,1,1,0,1,1,0,0.961832,0.722448,0
WHERES KARL,2,1,0,0,0,1,0,0,0.001403,-0.237981,0
Goood[e][e][e],2,0,0,0,0,1,0,1,0.926442,0.687058,1
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1
Why the new Indonesian trek audio sound like this [e],12,3,0,2,0,1,1,5,-0.753248,-0.992632,0
you let us down. Junction City High School Junction City KS,12,0,1,0,0,9,0,2,-0.823151,-1.062535,1
In 12:10 all 5 of them is in the boat who the f is filming the drone,17,2,3,0,0,3,6,3,-0.088677,-0.328061,0
Brilliantly copied Egoriks video but when he was surviving in the jungle he couldnt even leave him a commenteven though thats the whole reason he started surviving in the first place.,34,5,8,2,2,6,4,7,-0.09846,-0.337844,0
8:25,1,0,0,0,0,0,1,0,0.145442,-0.093942,1
Where is 1100 team members [e],8,2,1,0,0,0,1,4,-0.136922,-0.376306,0
Darrius saved the group all he could,7,1,2,0,0,3,1,0,0.446473,0.207089,0
I love you m.r beast,5,1,1,0,0,3,0,0,0.968295,0.728911,1
7:17,1,0,0,0,0,0,1,0,0.149494,-0.08989,0
i have nolan cape in real life,7,3,1,1,0,1,0,1,0.122825,-0.116559,0
Nice brother,2,1,0,1,0,0,0,0,0.789376,0.549992,1
Old mr beast is back,5,1,1,0,1,2,0,0,0.090744,-0.14864,0
Invite me[e],3,0,1,0,0,1,0,1,0.273026,0.033642,1
10:11,1,0,0,0,0,0,1,0,0.283863,0.044479,0
Darius was the real MVP of this video bro carried like a legend [e][e],16,4,2,1,0,2,3,4,0.966736,0.727352,0
Hey Mr Beast I got 10 people to subscribe for you,11,1,2,0,0,4,1,3,0.540984,0.3016,1
Biggest fan from india [e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e],7,1,0,1,0,2,0,3,0.649498,0.410114,1
Can you do a video with me please?,9,1,2,0,0,2,1,3,0.27487,0.035486,1
Recently I have intuitively locked in my frequency to of 234Hz and felt a cooling effect   Found that my intermolecular force in dna have increased  giving raise to steady voltage and a condition met which changed my action of body to of cooling generator. The heat accumulated over in my have slowly dissapitated.  I have analyzed that the mathematical grids of my body have actually made a change in integration of the producted dimensions in the process of differentiation . I have understood that some condition have met which could be the position of the crucial producted dimension that could have made .,105,21,29,4,4,12,10,25,0.160723,-0.078661,1
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1
the worst mistake y'all made is not rowing in unity same time same direction and trying to do same power each too...,24,5,5,4,1,3,1,5,-0.831964,-1.071348,0
I have watched this video more than 5 times and i have learnt allot in life in it .. keep the good job going mrbeast,25,5,6,3,0,3,3,5,0.975449,0.736065,0
Lame,1,0,1,0,0,0,0,0,-0.100156,-0.33954,1
Yesss,1,1,0,0,0,0,0,0,0.712374,0.47299,1
A white guy is forcing a black guy to work for him. I have seen this beforeeeeeeee.,19,3,5,2,0,2,3,4,-0.693157,-0.932541,0
Thank you mr beast. My sisters tryed testable bar in Bangladesh,12,3,2,1,0,4,0,2,0.789168,0.549784,1
We want Darius with you always mrBeast,7,0,1,0,2,3,0,1,0.859657,0.620273,0
you guys should hire an ex scout or something....,10,3,2,0,0,2,1,2,-0.613407,-0.852791,0
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,1
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,1
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,1
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,1
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,1
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,1
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,1
Free Palestine [e],5,0,0,0,0,2,0,3,0.091034,-0.14835,1
Millions watch. Few question. The algorithm approves.,10,2,2,1,0,1,1,3,0.426422,0.187038,0
If darius was helping who was recording them all of them?,12,0,4,0,0,5,0,3,-0.064556,-0.30394,0
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,0
I am your very big fan jimmy sir,8,1,1,1,1,4,0,0,0.964677,0.725293,0
[e][e][e][e][e][e],3,0,0,0,0,0,0,3,-0.029133,-0.268517,1
Do more challenges and pick me in next challenge,9,2,2,2,0,1,0,2,0.149369,-0.090015,0
Gugu gaga,2,1,0,0,0,1,0,0,0.134739,-0.104645,0
I hope this isn't the Epsh (coughs 2 times)?,13,1,2,0,0,4,2,4,-0.694189,-0.933573,0
Hi Jimmy,2,0,0,0,0,1,0,1,0.544148,0.304764,1
MRBEAST STOP PLAYING ROBLOX SO ROBLOX BRING BACK CHAT OK,10,2,3,1,0,3,0,1,-0.67021,-0.909594,0
Nepal[e][e],2,1,0,0,0,0,0,1,0.02313,-0.216254,1
LOVE FROM BANGLADESH [e][e][e][e],6,2,0,0,0,1,0,3,0.913491,0.674107,0
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
Darius Aura Farming bro MVP he need to be in more videos Mr Beast<>!,17,2,2,1,0,7,0,5,0.845453,0.606069,0
How is 5 days when 30 minutes is video,9,3,2,0,0,0,2,2,-0.006638,-0.246022,0
Are you crazy,3,0,1,1,0,1,0,0,-0.323995,-0.563379,1
This is how i felt in school every time,9,2,2,0,0,2,1,2,-0.252229,-0.491613,0
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
My my! how convenient there were floatable blue barrels buried across the island and 'bamboo's' too. Truly a test of survival!,27,5,2,3,2,2,2,11,0.871733,0.632349,0
someone did this,3,0,1,0,0,2,0,0,-0.186075,-0.425459,1
@mrbeast i need money for married [e][e][e] $50.000 [e][e][e],14,2,1,1,0,1,3,6,0.049971,-0.189413,1
It'd be nice to have a video challenge with just Jimmy.,13,2,3,1,1,2,1,3,0.47715,0.237766,0
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
No video,2,1,0,0,0,0,1,0,-0.011542,-0.250926,1
cool,1,0,0,1,0,0,0,0,0.453038,0.213654,1
I would not breath until Mr Beast does not reply my coment. [e],16,1,4,0,0,4,0,7,-0.662822,-0.902206,0
If Mr.Beast offered the team $1m once they complete the challenge it would be completed in no time.,22,3,6,0,0,4,4,5,0.580266,0.340882,0
I felt greatly that the mechs gon get him  -babft player-,11,3,2,1,1,2,1,1,0.171757,-0.067627,1
sound Mrbeast Indonesia has changed (voice over)[e],9,1,2,1,0,3,0,2,0.03438,-0.205004,0
Beast today is my birthday can you gift me a ASUS rog,12,3,3,0,0,5,1,0,0.831026,0.591642,1
uzbek,1,0,0,0,0,1,0,0,0.110254,-0.12913,1
Very nice mr beast,4,1,0,1,1,1,0,0,0.958721,0.719337,1
God willing you will succeed next time. Failure is the foundation of success. I love you Mr. Best. Your brother in faith from Yemen.,28,6,4,2,0,8,1,7,0.965586,0.726202,0
The Indonesian dubbing is not as energetic and good as the previous one. The previous one is better and more suitable,22,2,2,7,2,0,4,5,-0.50814,-0.747524,0
[e][e][e][e][e][e],3,0,0,0,0,0,0,3,-0.029133,-0.268517,1
IDK IF YOU NOTICED BUT YOU AT 472M SUBCRIBERS NOW!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,97,1,0,0,1,4,2,89,0.935076,0.695692,0
This deserves way more views! [e],9,1,1,1,1,1,0,4,0.949903,0.710519,1
Thailand 40 degrees,3,1,0,0,0,1,1,0,0.100825,-0.138559,1
My little brother watches this 10 times a day! So good! [e],16,3,1,2,1,2,2,5,0.985091,0.745707,0
wow,1,0,0,0,0,0,0,1,0.39262,0.153236,1
You Will never Know Why this comment is The most Liked Comment in the History of YouTube!,18,2,4,0,2,3,3,4,0.875017,0.635633,1
)[e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e],4,0,0,0,0,0,0,4,0.044004,-0.19538,1
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1
Kristina tyson touched me,4,1,1,0,0,2,0,0,0.070185,-0.169199,0
Helpme[e][e][e],2,1,0,0,0,0,0,1,0.209166,-0.030218,1
Indonesian sounds better before than now,6,0,1,1,3,0,0,1,0.497011,0.257627,0
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1
Darius promotion! no more cameraman bro is the strong hand of Beast,13,4,1,2,0,3,1,2,0.558205,0.318821,0
